,id,url,title,description,release_type,dev_url,category,dev_center,email,overview,os
0,ARC-15468-1,https://software.nasa.gov/software/ARC-15468-1,"Pour: A Framework For Periodic, On-Demand, And User-Specified Information Reconciliation","Pour is a general-purpose information service framework for periodic, on-demand, and user-specified information reconciliation. The technology is designed to accommodate a wide variety of information types with support for high-volume, low-frequency periodic updates, user-specified updates, and automatic updates collected on demand when needed.",Open Source,https://pkolano.github.io/projects/pour.html,Data and Image Processing,Ames Research Center,mailto:arc-sra-team@mail.nasa.gov,"Pour is a general-purpose information service framework for periodic, on-demand, and user-specified information reconciliation. The technology is designed to accommodate a wide variety of information types with support for high-volume, low-frequency periodic updates, user-specified updates, and automatic updates collected on demand when needed.",
1,ARC-16457-1A,https://software.nasa.gov/software/ARC-16457-1A,"Visual Environment For Remote Virtual Exploration (VERVE), Version 2","VERVE is a 3D visualization system that provides situational awareness, science analysis tools, and data understanding capabilities for robotics researchers and exploration science operations. The technology is highly modular and extensible and includes a 3D scene-graph database, an interactive 3D viewer, and associated graphical user interfaces to OSGI plugin-based applications.",Open Source,http://sourceforge.net/projects/irg-verve,Data and Image Processing,Ames Research Center,mailto:arc-sra-team@mail.nasa.gov,"VERVE is a 3D visualization system that provides situational awareness, science analysis tools, and data understanding capabilities for robotics researchers and exploration science operations. The technology is highly modular and extensible and includes a 3D scene-graph database, an interactive 3D viewer, and associated graphical user interfaces to OSGI plugin-based applications.",
2,ARC-14529-1,https://software.nasa.gov/software/ARC-14529-1,IND 2.1-Creation And Manipulation Of Decision Trees From Data,"Decision trees are commonly used in artificial intelligence and statistical pattern recognition. A tree is ""grown"" from data using a recursive-partitioning algorithm. IND re-implements parts of existing standard prediction algorithms, offers experimental control suites, and also introduces new, more sophisticated methods for growing decision trees.",Open Source,http://ti.arc.nasa.gov/opensource/projects/ind/,Data Servers Processing and Handling,Ames Research Center,mailto:arc-sra-team@mail.nasa.gov,"Decision trees are commonly used in artificial intelligence and statistical pattern recognition. A tree is ""grown"" from data using a recursive-partitioning algorithm. IND re-implements parts of existing standard prediction algorithms, offers experimental control suites, and also introduces new, more sophisticated methods for growing decision trees.",
3,LEW-17677-1,https://software.nasa.gov/software/LEW-17677-1,"Time-Accurate, Sectored, One-Dimensional Reactive Code For Simulation, Prediction, And Control Of Combustion Instabilities","This sectored one-dimensional model utilizes a simplified computational fluid dynamics (CFD) algorithm to simulate combustion and acoustic processes (including instabilities) in combustors with complex shapes. Utilizing modest computational resources, the code produces realistic results and is well suited for controls development.",U.S. Release Only,https://software.nasa.gov/request-form/LEW-17677-1,System Testing,Glenn Research Center,mailto:grc-sra-team@mail.nasa.gov,"This sectored one-dimensional model utilizes a simplified computational fluid dynamics (CFD) algorithm to simulate combustion and acoustic processes (including instabilities) in combustors with complex shapes. Utilizing modest computational resources, the code produces realistic results and is well suited for controls development.",
4,LEW-17681-1,https://software.nasa.gov/software/LEW-17681-1,Solar Array Verification And Analysis Tool (SAVANT),"The powerful, yet easy-to-use SAVANT quick-engineering code calculates the expected radiation damage to solar cells in Earth orbit. The tool contains ten types of solar cells and four types of cover glass. Radiation damage calculations are based on the Displacement Damage Dose method developed at the Naval Research Laboratories.",U.S. Release Only,https://software.nasa.gov/request-form/LEW-17681-1,System Testing,Glenn Research Center,mailto:grc-sra-team@mail.nasa.gov,"The powerful, yet easy-to-use SAVANT quick-engineering code calculates the expected radiation damage to solar cells in Earth orbit. The tool contains ten types of solar cells and four types of cover glass. Radiation damage calculations are based on the Displacement Damage Dose method developed at the Naval Research Laboratories.",
5,LEW-17816-1,https://software.nasa.gov/software/LEW-17816-1,"SNAP, Version 2.3","SNAP is an N-body high-fidelity propagation program that can model the trajectories of the planets, the Sun, and virtually any natural satellite in the solar system.",U.S. Release Only,https://software.nasa.gov/request-form/LEW-17816-1,Propulsion,Glenn Research Center,mailto:grc-sra-team@mail.nasa.gov,"SNAP is an N-body high-fidelity propagation program that can model the trajectories of the planets, the Sun, and virtually any natural satellite in the solar system.",
6,LEW-18229-1,https://software.nasa.gov/software/LEW-18229-1,NESSUS 6.2C,"The NESSUS 6.2c computer program is a set of separate but related modules for solving a wide range of component and system probabilistic and reliability problems, including finite element analysis, heat transfer analysis, geometry generation, and ceramic material property generation.",U.S. Release Only,https://software.nasa.gov/request-form/LEW-18229-1,System Testing,Glenn Research Center,mailto:grc-sra-team@mail.nasa.gov,"The NESSUS 6.2c computer program is a set of separate but related modules for solving a wide range of component and system probabilistic and reliability problems, including finite element analysis, heat transfer analysis, geometry generation, and ceramic material property generation.",
7,LEW-17674-1,https://software.nasa.gov/software/LEW-17674-1,Modular Aero-Propulsion System Simulation (MAPSS),"MAPSS is a flexible turbofan engine simulation environment that provides easy access to health, control, and engine parameters through a graphical user interface. The technology can be used as a simulation environment for developing and testing advanced control algorithms, or it can run transient simulations or generate state-space linear models for creating a piecewise linear controller.",U.S. Release Only,https://software.nasa.gov/request-form/LEW-17674-1,Propulsion,Glenn Research Center,mailto:grc-sra-team@mail.nasa.gov,"MAPSS is a flexible turbofan engine simulation environment that provides easy access to health, control, and engine parameters through a graphical user interface. The technology can be used as a simulation environment for developing and testing advanced control algorithms, or it can run transient simulations or generate state-space linear models for creating a piecewise linear controller.",
8,GSC-14911-1,https://software.nasa.gov/software/GSC-14911-1,Architecture Adaptive Computing Environment (ACE),"The Architecture Adaptive Computing Environment (ACE) is a parallel computing language, compiler, and runtime library. The purpose of ACE is to allow a programmer to more easily write parallel programs for a wide variety of parallel computer architectures.",Open Source,http://opensource.gsfc.nasa.gov/projects/ace/index.php,Design and Integration Tools,Goddard Space Flight Center,mailto:gsfc-softwarerequest@mail.nasa.gov,"The Architecture Adaptive Computing Environment (ACE) is a parallel computing language, compiler, and runtime library. The purpose of ACE is to allow a programmer to more easily write parallel programs for a wide variety of parallel computer architectures.",
9,GSC-15016-1,https://software.nasa.gov/software/GSC-15016-1,Hierarchical Data Format Earth Observing System (HDF-EOS) XML Document-Type Definitions And Schemas,"An XML standard has been developed for the HDF-EOS5 file format using document-type definitions and schemas. Users can transform HDF5 files into XML format and vice versa. For more information, please visit: http://opensource.gsfc.nasa.gov/projects/XML_DTD_Schemas/index.php",Open Source,http://opensource.gsfc.nasa.gov/projects/XML_DTD_Schemas/index.php,Data Servers Processing and Handling,Goddard Space Flight Center,mailto:gsfc-softwarerequest@mail.nasa.gov,"An XML standard has been developed for the HDF-EOS5 file format using document-type definitions and schemas. Users can transform HDF5 files into XML format and vice versa. For more information, please visit: http://opensource.gsfc.nasa.gov/projects/XML_DTD_Schemas/index.php",
10,GSC-14730-1,https://software.nasa.gov/software/GSC-14730-1,Space Physics Data Facility (SPDF) Web Services,These Web services provide a distributed programming interface to a portion of the Space Physics Data Facility (SPDF) software. The technology conforms to all applicable Web service specifications of the World Wide Web Consortium. Please visit the following URL for additional information: http://spdf.gsfc.nasa.gov/,Open Source,http://spdf.gsfc.nasa.gov/,"Environmental Science (Earth, Air, Space, Exoplanet)",Goddard Space Flight Center,mailto:gsfc-softwarerequest@mail.nasa.gov,These Web services provide a distributed programming interface to a portion of the Space Physics Data Facility (SPDF) software. The technology conforms to all applicable Web service specifications of the World Wide Web Consortium. Please visit the following URL for additional information: http://spdf.gsfc.nasa.gov/,
11,GSC-15137-1,https://software.nasa.gov/software/GSC-15137-1,NASA.Rb (Formerly FUnit),"NASA.rb (formerly fUnit) is a collection of Fortran modules that provide a framework for automating the construction, execution, and reporting of unit tests for Fortran software applications. Support is provided for several aspects of unit testing that are peculiar to scientific technical computing including distributing jparallel applications and parameterized behavior.",Open Source,http://opensource.gsfc.nasa.gov/projects/FUNIT/,Design and Integration Tools,Goddard Space Flight Center,mailto:gsfc-softwarerequest@mail.nasa.gov,"NASA.rb (formerly fUnit) is a collection of Fortran modules that provide a framework for automating the construction, execution, and reporting of unit tests for Fortran software applications. Support is provided for several aspects of unit testing that are peculiar to scientific technical computing including distributing jparallel applications and parameterized behavior.",
12,NPO-20741-1,https://software.nasa.gov/software/NPO-20741-1,Defect Detection And Prevention (DDP),DDP evaluates criticality by generating a tree of failure modes and a tree of requirements and then evaluating the impact of each failure mode on each requirement.,U.S. Government Purpose Release,https://software.nasa.gov/request-form/NPO-20741-1,System Testing,Jet Propulsion Laboratory,mailto:sra@jpl.nasa.gov,DDP evaluates criticality by generating a tree of failure modes and a tree of requirements and then evaluating the impact of each failure mode on each requirement.,
13,NPO-18593-1T,https://software.nasa.gov/software/NPO-18593-1T,Jet Propulsion Laboratory (JPL) Stereo Vision Software Suite (JPLV),"JPLV provides a set of libraries and utilities for basic robotic vision, including stereo ranging and camera calibration. Primarily intended for vision system users rather than vision system developers, the suite hides most implementation details behind a high-level application user interface. No specialized computer-vision knowledge is required.",U.S. Government Purpose Release,https://software.nasa.gov/request-form/NPO-18593-1T,Autonomous Systems,Jet Propulsion Laboratory,mailto:sra@jpl.nasa.gov,"JPLV provides a set of libraries and utilities for basic robotic vision, including stereo ranging and camera calibration. Primarily intended for vision system users rather than vision system developers, the suite hides most implementation details behind a high-level application user interface. No specialized computer-vision knowledge is required.",
14,NPO-42082-1,https://software.nasa.gov/software/NPO-42082-1,PixelLearn,"PixelLearn is a tool for classifying the pixels in scientific image data sets. Based on one or more images on the same grid, the tool uses cutting-edge clustering algorithms to automatically find structures in the image, or to label individual classes and use supervised classification methods to extend the labels to the rest of the image.",U.S. Government Purpose Release,https://software.nasa.gov/request-form/NPO-42082-1,Data and Image Processing,Jet Propulsion Laboratory,mailto:sra@jpl.nasa.gov,"PixelLearn is a tool for classifying the pixels in scientific image data sets. Based on one or more images on the same grid, the tool uses cutting-edge clustering algorithms to automatically find structures in the image, or to label individual classes and use supervised classification methods to extend the labels to the rest of the image.",
15,LAR-16804-GS,https://software.nasa.gov/software/LAR-16804-GS,NASA STRuctrual ANalysis (NASTRAN),"NASTRAN is a finite element analysis program that was originally developed for NASA in the late 1960s under U.S. government funding for the aerospace industry. The software suite provides engineers a comprehensive simulation solution for insight into structural behavior. NASTRAN source code is integrated in a number of different software packages, which are distributed by a range of companies.",Open Source,https://github.com/nasa/NASTRAN-95,Design and Integration Tools,Langley Research Center,mailto:larc-sra@mail.nasa.gov,"NASTRAN is a finite element analysis program that was originally developed for NASA in the late 1960s under U.S. government funding for the aerospace industry. The software suite provides engineers a comprehensive simulation solution for insight into structural behavior. NASTRAN source code is integrated in a number of different software packages, which are distributed by a range of companies.",
16,LAR-17625-1,https://software.nasa.gov/software/LAR-17625-1,Flight Dynamics Simulation Of A Generic Transport Model,"This software is a flight dynamics simulation of a transport aircraft. It implements general rigid body equations of motion for the vehicle dynamics and draws aerodynamic forces from a standard coefficient expansion implemented as table lookups. Dynamics of actuator servos and bandwidth of sensors are also included. The simulation is coded in Simulink, a model-based environment using a commercial simulation package from Mathworks, Inc. The software is not stand-alone; it must be run from inside this commercial environment, making use of numerical libraries for basic operations as well as the overall time-stepping and numerical integration routines.",Open Source,https://github.com/nasa/GTM_DesignSim,Design and Integration Tools,Langley Research Center,mailto:larc-sra@mail.nasa.gov,"This software is a flight dynamics simulation of a transport aircraft. It implements general rigid body equations of motion for the vehicle dynamics and draws aerodynamic forces from a standard coefficient expansion implemented as table lookups. Dynamics of actuator servos and bandwidth of sensors are also included. The simulation is coded in Simulink, a model-based environment using a commercial simulation package from Mathworks, Inc. The software is not stand-alone; it must be run from inside this commercial environment, making use of numerical libraries for basic operations as well as the overall time-stepping and numerical integration routines.",
